#k	TruePositives	FalsePositives	TrueNegatives	FalseNegatives	Precision	Recall	Accuracy	F-measure	HammingLoss
2	9	0	142	14	1	0.409090909090909	0.409090909090909	0.512121212121212	0.0848484848484849
2	6	0	144	15	1	0.333333333333333	0.333333333333333	0.393939393939394	0.0909090909090909
2	11	1	141	12	0.958333333333333	0.522727272727273	0.492424242424242	0.574891774891775	0.0787878787878788
2	2	1	145	17	0.666666666666667	0.136363636363636	0.136363636363636	0.151515151515151	0.109090909090909
2	15	3	131	16	0.84375	0.439393939393939	0.393939393939394	0.49004329004329	0.115151515151515
2	12	1	138	14	0.888888888888889	0.454545454545455	0.454545454545455	0.545454545454545	0.0909090909090909
2	7	2	137	19	0.8125	0.316017316017316	0.300865800865801	0.386363636363636	0.127272727272727
2	6	0	142	17	1	0.245454545454545	0.245454545454545	0.272727272727273	0.103030303030303
2	7	2	140	16	0.714285714285714	0.265151515151515	0.265151515151515	0.321212121212121	0.109090909090909
2	7	0	143	15	1	0.272727272727273	0.272727272727273	0.378787878787879	0.0909090909090909
3	8	0	206	26	1	0.25	0.25	0.289583333333333	0.108333333333333
3	15	1	200	24	0.966666666666667	0.369791666666667	0.363541666666667	0.435714285714286	0.104166666666667
3	6	1	205	28	0.9	0.239583333333333	0.234375	0.254166666666667	0.120833333333333
3	6	0	206	28	1	0.171875	0.171875	0.191666666666667	0.116666666666667
3	11	2	206	21	0.866666666666667	0.34375	0.322916666666667	0.402083333333333	0.0958333333333333
3	8	0	208	24	1	0.270833333333333	0.270833333333333	0.333333333333333	0.1
3	8	1	205	26	0.857142857142857	0.223958333333333	0.223958333333333	0.264583333333333	0.1125
3	6	0	208	26	1	0.1875	0.1875	0.208333333333333	0.108333333333333
3	19	1	205	15	0.95	0.46875	0.458333333333333	0.5125	0.0666666666666667
3	12	1	207	20	0.958333333333333	0.34375	0.333333333333333	0.383333333333333	0.0875
4	14	0	283	33	1	0.257575757575758	0.257575757575758	0.296103896103896	0.1
4	19	3	279	29	0.886363636363636	0.371212121212121	0.34469696969697	0.393506493506493	0.096969696969697
4	14	1	281	34	0.909090909090909	0.287878787878788	0.287878787878788	0.345454545454546	0.106060606060606
4	8	2	284	36	0.75	0.185606060606061	0.185606060606061	0.207575757575758	0.115151515151515
4	16	2	284	28	0.933333333333333	0.321969696969697	0.310606060606061	0.352597402597403	0.0909090909090909
4	15	2	276	37	0.863636363636364	0.265151515151515	0.261363636363636	0.31969696969697	0.118181818181818
4	25	3	273	29	0.894444444444444	0.481060606060606	0.465151515151515	0.514935064935065	0.096969696969697
4	18	1	285	26	0.976190476190476	0.428030303030303	0.412878787878788	0.478787878787879	0.0818181818181818
4	15	1	286	28	0.954545454545455	0.325757575757576	0.318181818181818	0.373809523809524	0.0878787878787879
4	21	3	279	27	0.92156862745098	0.484848484848485	0.477272727272727	0.553030303030303	0.0909090909090909
5	25	0	348	32	1	0.367901234567901	0.367901234567901	0.429541446208113	0.0790123456790123
5	34	3	335	33	0.912698412698413	0.518518518518518	0.5	0.580246913580247	0.0888888888888889
5	16	2	346	41	0.916666666666667	0.29320987654321	0.268518518518519	0.324691358024691	0.106172839506173
5	31	2	339	33	0.925	0.469135802469136	0.462962962962963	0.537037037037037	0.0864197530864197
5	19	3	343	40	0.852941176470588	0.330246913580247	0.324074074074074	0.391358024691358	0.106172839506173
5	25	2	346	32	0.962962962962963	0.441358024691358	0.416666666666667	0.492592592592593	0.0839506172839506
5	28	3	340	34	0.916666666666667	0.391975308641975	0.385802469135802	0.432980599647266	0.091358024691358
5	23	0	340	42	1	0.309259259259259	0.309259259259259	0.357407407407407	0.103703703703704
5	28	0	346	31	1	0.45679012345679	0.45679012345679	0.531746031746032	0.0765432098765432
5	17	0	346	42	1	0.29320987654321	0.29320987654321	0.371604938271605	0.103703703703704
6	28	3	423	41	0.947368421052632	0.368686868686869	0.343434343434343	0.415151515151515	0.0888888888888889
