#k	TruePositives	FalsePositives	TrueNegatives	FalseNegatives	Precision	Recall	Accuracy	F-measure	HammingLoss
2	2	19	124	20	0.121212121212121	0.0757575757575757	0.053030303030303	0.0818181818181818	0.236363636363636
2	4	12	130	19	0.227272727272727	0.227272727272727	0.151515151515151	0.212121212121212	0.187878787878788
2	1	3	139	22	0.333333333333333	0.0303030303030303	0.0303030303030303	0.0454545454545455	0.151515151515152
2	3	20	120	22	0.181818181818182	0.121212121212121	0.0984848484848485	0.142424242424242	0.254545454545455
2	3	20	121	21	0.183333333333333	0.0909090909090909	0.0681818181818182	0.107792207792208	0.248484848484848
2	1	10	135	19	0.0909090909090909	0.0454545454545455	0.0454545454545455	0.0606060606060606	0.175757575757576
2	4	19	123	19	0.166666666666667	0.143939393939394	0.0939393939393939	0.148484848484848	0.23030303030303
2	1	5	141	18	0.166666666666667	0.0454545454545455	0.0454545454545455	0.0606060606060606	0.139393939393939
2	4	15	129	17	0.3	0.212121212121212	0.159090909090909	0.218181818181818	0.193939393939394
2	5	16	121	23	0.227272727272727	0.217532467532468	0.165909090909091	0.202020202020202	0.236363636363636
3	6	3	201	30	0.666666666666667	0.145833333333333	0.145833333333333	0.175	0.1375
3	0	0	210	30	NaN	0	0	0	0.125
3	0	3	202	35	0	0	0	0	0.158333333333333
3	2	0	209	29	1	0.0520833333333333	0.0520833333333333	0.0729166666666667	0.120833333333333
3	4	0	208	28	1	0.125	0.125	0.15625	0.116666666666667
3	0	6	194	40	0	0	0	0	0.191666666666667
3	1	5	203	31	0.166666666666667	0.0208333333333333	0.0208333333333333	0.03125	0.15
3	0	5	198	37	0	0	0	0	0.175
3	0	1	208	31	0	0	0	0	0.133333333333333
3	3	2	203	32	0.6	0.0729166666666667	0.0729166666666667	0.104166666666667	0.141666666666667
4	0	0	290	40	NaN	0	0	0	0.121212121212121
4	6	3	279	42	0.785714285714286	0.143939393939394	0.121212121212121	0.166666666666667	0.136363636363636
4	0	1	291	38	0	0	0	0	0.118181818181818
4	7	5	265	53	0.65	0.117424242424242	0.113636363636364	0.165151515151515	0.175757575757576
4	0	0	283	47	NaN	0	0	0	0.142424242424242
4	0	0	285	45	NaN	0	0	0	0.136363636363636
4	2	6	278	44	0.333333333333333	0.0568181818181818	0.0568181818181818	0.0636363636363636	0.151515151515152
4	0	1	284	45	0	0	0	0	0.139393939393939
4	0	1	282	47	0	0	0	0	0.145454545454545
4	0	1	281	48	0	0	0	0	0.148484848484849
5	4	3	345	53	0.5	0.0555555555555556	0.0555555555555556	0.0728395061728395	0.138271604938272
5	0	1	349	55	0	0	0	0	0.138271604938272
5	5	2	352	46	0.714285714285714	0.111111111111111	0.111111111111111	0.135802469135802	0.118518518518519
5	7	3	342	53	0.722222222222222	0.104938271604938	0.101851851851852	0.144444444444444	0.138271604938272
5	0	0	347	58	NaN	0	0	0	0.14320987654321
5	10	5	338	52	0.666666666666667	0.140123456790123	0.140123456790123	0.2	0.140740740740741
5	13	5	343	44	0.75	0.205026455026455	0.198853615520282	0.25843621399177	0.120987654320988
5	0	0	347	58	NaN	0	0	0	0.14320987654321
5	2	2	342	59	0.5	0.0277777777777778	0.0216049382716049	0.0333333333333333	0.150617283950617
5	1	2	347	55	0.333333333333333	0.0185185185185185	0.0185185185185185	0.0246913580246914	0.140740740740741
6	4	3	430	58	0.571428571428571	0.0858585858585859	0.0858585858585859	0.095959595959596	0.123232323232323
6	0	0	429	66	NaN	0	0	0	0.133333333333333
6	0	0	433	62	NaN	0	0	0	0.125252525252525
6	0	1	421	73	0	0	0	0	0.149494949494949
6	1	0	433	61	1	0.0101010101010101	0.0101010101010101	0.0151515151515152	0.123232323232323
6	4	2	422	67	0.7	0.047979797979798	0.0429292929292929	0.0626262626262626	0.139393939393939
6	4	0	428	63	1	0.0454545454545454	0.0454545454545454	0.0656565656565656	0.127272727272727
6	5	0	423	67	1	0.0782828282828283	0.0782828282828283	0.097979797979798	0.135353535353535
