#k	TruePositives	FalsePositives	TrueNegatives	FalseNegatives	Precision	Recall	Accuracy	F-measure	HammingLoss
65	578	255	4365	187	0.741764132553606	0.774738028916302	0.609881947207853	0.702851837113676	0.0820798514391829
65	586	260	4370	169	0.742450980392157	0.794236636158642	0.619027722509616	0.710974046071539	0.0796657381615599
65	610	245	4357	173	0.764342572850035	0.78488526329752	0.620506698501127	0.711848256973606	0.0776230269266481
65	593	243	4381	168	0.763294232649071	0.788765088207985	0.619405756731662	0.716567183976655	0.0763231197771588
65	602	237	4389	157	0.770486111111111	0.800603528319406	0.637743732590529	0.724452845204935	0.0731662024141133
65	581	236	4382	186	0.761045364891518	0.768238493168855	0.60997479771853	0.703764867135341	0.0783658310120706
65	595	236	4386	168	0.765655105973025	0.79363974001857	0.631940575673166	0.727406375735067	0.0750232126276695
65	579	266	4367	173	0.735270498732037	0.772416766149357	0.597877702613079	0.694396612363186	0.0815227483751161
65	591	237	4387	170	0.764842209072978	0.785581642127603	0.623046823186099	0.715844446485116	0.0755803156917363
65	584	238	4383	180	0.766420845624385	0.778916301896803	0.62102400848919	0.712674094707521	0.0776230269266481
66	589	248	4443	180	0.752248289345063	0.774725274725275	0.609347200418629	0.704321472178615	0.0783882783882784
66	614	249	4439	158	0.753709055876685	0.797291993720565	0.630625327053898	0.720395081109367	0.0745421245421245
66	598	253	4416	193	0.750589970501475	0.769498953427525	0.600176609105181	0.695663265306122	0.0816849816849817
66	607	259	4433	161	0.758211856171039	0.80187728937729	0.624862637362637	0.717972701901274	0.0769230769230769
66	590	235	4460	175	0.765592765296029	0.778976975405547	0.622808738880167	0.708486751343894	0.0750915750915751
66	591	257	4441	171	0.746135265700483	0.786505756148613	0.613154107796965	0.707852266780839	0.0783882783882784
66	583	270	4406	201	0.727648202137998	0.7574568288854	0.591346153846154	0.683893685679401	0.0862637362637363
66	590	253	4449	168	0.748750520616409	0.795329670329671	0.626661433804291	0.712609810824097	0.0771062271062271
66	594	249	4445	172	0.746003898635477	0.784635007849293	0.610779696493982	0.706185847119914	0.0771062271062271
66	602	248	4435	175	0.765937803692906	0.785681580324437	0.618190737833595	0.714019314019314	0.0774725274725275
67	602	239	4527	182	0.761509073543457	0.773262548262548	0.617541827541828	0.707141657141657	0.0758558558558559
67	610	265	4499	176	0.750383141762452	0.785720720720721	0.611981981981982	0.707885027885028	0.0794594594594595
67	594	246	4518	192	0.757703488372093	0.762065637065637	0.599543114543114	0.694165594165594	0.0789189189189189
67	596	250	4520	184	0.757492795389049	0.774453024453025	0.617117117117117	0.707653367653368	0.0781981981981982
67	619	248	4502	181	0.757558685446009	0.785135135135135	0.624504504504504	0.71980265980266	0.0772972972972973
67	588	248	4528	186	0.763314176245211	0.768217503217503	0.607316602316602	0.704045639045639	0.0781981981981982
67	615	241	4526	168	0.771794871794872	0.788783783783784	0.632387387387387	0.722556842556843	0.0736936936936937
67	624	257	4502	167	0.756928838951311	0.80518018018018	0.633204633204633	0.730276705276705	0.0763963963963964
67	619	245	4508	178	0.771101364522417	0.782110682110682	0.619092664092664	0.710163020163021	0.0762162162162162
67	597	246	4520	187	0.763081395348837	0.772651222651223	0.607516087516087	0.701274131274132	0.078018018018018
68	609	274	4586	171	0.736884809789838	0.79543439716312	0.617122593718338	0.710333003285131	0.0789007092198582
68	614	257	4589	180	0.766336166194523	0.788760131712259	0.622277102330293	0.716124360273297	0.0774822695035461
68	617	268	4576	179	0.749643846458251	0.792774822695035	0.619205927051672	0.714237934051764	0.0792553191489362
68	616	240	4602	182	0.767466931216931	0.784479483282675	0.632807750759878	0.723641429492494	0.074822695035461
68	618	272	4561	189	0.741120607787274	0.777830547112462	0.600088652482269	0.695860773387369	0.0817375886524823
68	615	260	4584	181	0.759776536312849	0.786474164133739	0.622289766970618	0.716041877744006	0.0781914893617021
68	625	252	4599	164	0.759116980125383	0.805762411347518	0.638000253292806	0.728382226520525	0.0737588652482269
68	610	269	4587	174	0.74766573295985	0.788095238095238	0.618724670719352	0.712021016808251	0.0785460992907801
68	607	259	4583	191	0.760734349919743	0.777387284701115	0.618756332320162	0.711684857695496	0.0797872340425532
68	600	245	4607	188	0.761924882629108	0.777925531914894	0.615868794326241	0.709768659236745	0.0767730496453901
69	611	287	4630	187	0.725855038147856	0.770122484689414	0.595825521809774	0.692423295572902	0.0829396325459318
69	620	267	4646	182	0.756517690875233	0.787370328708912	0.614360704911886	0.709484988618847	0.0785651793525809
69	624	263	4637	191	0.763355757815592	0.781714785651794	0.61628546431696	0.71085565061943	0.0794400699912511
69	619	270	4644	182	0.743379629629629	0.782808398950131	0.605686789151356	0.702197641961421	0.079090113735783
69	625	248	4654	188	0.762408807534156	0.77527809023872	0.618997625296838	0.710518192801658	0.0762904636920385
69	632	277	4624	182	0.748050139275766	0.778933883264592	0.612360954880639	0.704941209271919	0.0803149606299213
69	628	266	4635	186	0.752545382794001	0.782277215348081	0.612210973628297	0.708216397192775	0.079090113735783
69	617	280	4620	198	0.72223544973545	0.768278965129359	0.598956380452444	0.68966454950707	0.0836395450568679
69	621	260	4653	181	0.746574074074074	0.786214223222097	0.615485564304461	0.707993697757478	0.0771653543307087
69	623	265	4639	188	0.751117318435754	0.77352830896138	0.609967504061992	0.701578969295505	0.0792650918635171
70	629	248	4738	190	0.767091836734694	0.780829334317706	0.628522209917558	0.717093974070719	0.0754521963824289
