#k	TruePositives	FalsePositives	TrueNegatives	FalseNegatives	Precision	Recall	Accuracy	F-measure	HammingLoss
2	35	164	6816	1115	0.176315789473684	0.027060270602706	0.0267527675276753	0.0366543665436654	0.157318573185732
2	69	8	6970	1083	0.906666666666667	0.0610393603936039	0.0605781057810578	0.0794587945879459	0.134194341943419
2	89	57	6923	1061	0.67986798679868	0.0737568089966614	0.066622737655948	0.0882314180284659	0.137515375153752
2	35	86	6890	1119	0.289256198347107	0.0268142681426814	0.0268142681426814	0.0370233702337023	0.148216482164822
2	93	250	6738	1049	0.219816272965879	0.0685643999297136	0.0571164997364259	0.0782756398992561	0.159778597785978
2	147	411	6572	1000	0.240488006617039	0.12518889474609	0.0999736425935688	0.13846717038599	0.173554735547355
2	122	391	6592	1025	0.213235294117647	0.113222632226322	0.0938806888068881	0.124696889826041	0.174169741697417
2	29	101	6879	1121	0.214666666666667	0.0227552275522755	0.0219864698646987	0.0297662976629766	0.150307503075031
2	106	327	6653	1044	0.197050938337802	0.0968634686346864	0.0802890528905289	0.106457564575646	0.168634686346863
2	63	46	6933	1088	0.580952380952381	0.0588868388683887	0.0574108241082411	0.0741082410824108	0.139483394833948
3	75	55	6861	1064	0.690740740740741	0.063935443823712	0.0600248292985723	0.078584729981378	0.138919925512104
3	113	217	6704	1021	0.419983416252073	0.103941651148355	0.0830850403476102	0.112201826726966	0.153693358162632
3	73	109	6807	1066	0.367924528301887	0.0648665425201738	0.0604283054003724	0.0770949720670391	0.145872129112353
3	63	5	6911	1076	0.9375	0.058193668528864	0.058193668528864	0.073618870266915	0.134202358783364
3	37	115	6799	1104	0.235294117647059	0.0297951582867784	0.0276225946617008	0.0377405338299193	0.151334574798262
3	89	61	6853	1052	0.59375	0.0928615766604594	0.0888268156424581	0.110304158907511	0.138175046554935
3	82	106	6810	1057	0.434659090909091	0.0737119801365611	0.0692737430167598	0.0924270639354438	0.144382371198014
3	87	4	6910	1054	0.956043956043956	0.0825574177529485	0.0825574177529485	0.105276225946617	0.131346989447548
3	166	159	6757	973	0.451587301587302	0.136193136472466	0.115336525671721	0.145458307469481	0.140533829919305
3	48	95	6819	1093	0.334586466165414	0.0458898643256185	0.0440897401791256	0.0558969584109249	0.147486033519553
4	142	147	6692	984	0.448290598290598	0.126490897677338	0.108349026993095	0.133844498251278	0.141996233521657
4	157	164	6676	968	0.437916666666667	0.130997219980271	0.102058111380145	0.137279167787642	0.142121782799749
4	134	86	6754	991	0.631901840490798	0.113841807909605	0.0969868173258004	0.133333333333333	0.135216572504708
4	46	93	6743	1083	0.330769230769231	0.0387185005829074	0.0369921980091472	0.0498116760828625	0.147645951035782
4	109	198	6638	1020	0.441256830601093	0.103735091023227	0.0905210295040804	0.115039009954264	0.152919020715631
4	140	109	6735	981	0.571428571428571	0.125141242937853	0.115693659761456	0.151286880100439	0.1368487131199
4	150	236	6610	969	0.350707850707851	0.138480853735091	0.106277463904583	0.140776611963053	0.151286880100439
4	91	131	6705	1038	0.413370998116761	0.0852165725047081	0.0746704331450094	0.0987445072190834	0.14676710608914
4	100	111	6724	1030	0.417190775681342	0.0864720652856246	0.0748587570621469	0.0967177831584611	0.143251726302574
4	140	132	6708	985	0.525811209439528	0.128235135862254	0.118881714644427	0.153954802259887	0.140238543628374
5	167	73	6701	949	0.713391136801542	0.142925040738729	0.132500452652544	0.168074416078218	0.129531051964512
5	219	231	6553	887	0.465621734587252	0.190987687850806	0.160347637153721	0.212348361397791	0.14169835234474
5	91	73	6701	1025	0.579124579124579	0.0918884664131813	0.0738276299112801	0.095536845917074	0.139163498098859
5	164	269	6512	945	0.344682230869001	0.139638783269962	0.104929386203151	0.142897881586094	0.153865652724968
5	131	187	6589	983	0.401408450704225	0.12553865652725	0.12084917617237	0.152154626108999	0.14828897338403
5	116	115	6659	1000	0.507978723404255	0.114131812420786	0.103897338403042	0.131178707224335	0.141318124207858
5	191	218	6561	920	0.503558052434457	0.16616422234293	0.145441788882854	0.188161627135011	0.144233206590621
5	121	67	6715	987	0.601587301587301	0.0949212384573601	0.0791100850986782	0.0988095238095237	0.133586818757921
