#k	TruePositives	FalsePositives	TrueNegatives	FalseNegatives	Precision	Recall	Accuracy	F-measure	HammingLoss
2	176	976	6003	975	0.142375168690958	0.149573888596029	0.0884862062906343	0.128329819012476	0.239975399753998
2	61	683	6297	1089	0.0728782287822878	0.0526489193463363	0.0408408012651555	0.05740057400574	0.217958179581796
2	37	280	6700	1113	0.121863799283154	0.0347478474784748	0.0334255842558426	0.0423739237392374	0.171340713407134
2	145	978	6004	1003	0.131918819188192	0.131800210859251	0.0861667545246882	0.124893106073918	0.243665436654367
2	138	745	6236	1011	0.164330218068536	0.116253733965911	0.0785824108241083	0.112789199320565	0.215990159901599
2	73	469	6508	1080	0.134686346863469	0.0611931119311193	0.0611931119311193	0.0811808118081181	0.190528905289053
2	226	921	6059	924	0.202029520295203	0.183614479001933	0.132599718854332	0.185752357523575	0.226937269372694
2	85	324	6652	1069	0.21039603960396	0.0673607450360218	0.0673607450360218	0.0917896678966789	0.171340713407134
2	115	757	6221	1037	0.138475836431227	0.0977596204533474	0.0746924969249693	0.104331400456862	0.220664206642066
2	156	912	6073	989	0.147047970479705	0.129059040590406	0.091789667896679	0.132911614830434	0.233825338253383
3	68	217	6701	1069	0.251396648044693	0.0530415890751086	0.0484171322160149	0.0626407732552984	0.159652389819988
3	0	0	6912	1143	NaN	0	0	0	0.141899441340782
3	17	85	6832	1121	0.166666666666667	0.0110180012414649	0.0110180012414649	0.0162011173184358	0.149720670391061
3	17	20	6893	1125	0.532258064516129	0.0150527622594662	0.0147423960273122	0.0196772191185599	0.142147734326505
3	27	139	6775	1114	0.157718120805369	0.0287088764742396	0.0262259466170081	0.0325884543761639	0.155555555555556
3	67	346	6576	1066	0.163393756294058	0.0648665425201738	0.0554934823091248	0.0719960982530815	0.175294847920546
3	86	360	6554	1055	0.191343963553531	0.0779019242706393	0.0764121663563004	0.0999379267535691	0.175667287399131
3	2	39	6880	1134	0.0512820512820513	0.00248292985723153	0.00248292985723153	0.00279329608938547	0.145623836126629
3	10	70	6843	1132	0.125	0.00806952203600248	0.00806952203600248	0.0111111111111111	0.149224084419615
3	88	342	6575	1050	0.199501246882793	0.0744568590937306	0.0714773432650528	0.0960361798350625	0.172811918063315
4	7	40	6792	1126	0.148936170212766	0.00502197112366604	0.00502197112366604	0.0071563088512241	0.146390458254865
4	41	76	6764	1084	0.340909090909091	0.0309792843691149	0.0304143126177025	0.0416823603264281	0.145637162586315
4	5	6	6824	1130	0.454545454545455	0.00392341494036409	0.00392341494036409	0.00546139359698682	0.142623979912116
4	48	152	6700	1065	0.23943661971831	0.0393910860012555	0.0332077840552417	0.046390458254865	0.152793471437539
4	3	16	6823	1123	0.157894736842105	0.0034526051475204	0.0034526051475204	0.00408035153797866	0.14300062774639
4	0	0	6837	1128	NaN	0	0	0	0.141619585687382
4	37	165	6673	1090	0.193156732891832	0.0333333333333333	0.030916509730069	0.0394224733207784	0.157564344005022
4	6	17	6820	1122	0.260869565217391	0.00376647834274953	0.00376647834274953	0.00564971751412429	0.14300062774639
4	20	22	6817	1106	0.476190476190476	0.0166980539861896	0.0166980539861896	0.0225360954174514	0.141619585687382
4	3	40	6800	1122	0.0609756097560976	0.0034526051475204	0.00313873195229127	0.00376647834274953	0.145888261142498
5	24	55	6719	1092	0.26865671641791	0.0186628643852978	0.0177122940430925	0.0232663407568351	0.145373891001267
5	12	39	6733	1106	0.239583333333333	0.00950570342205323	0.00918884664131812	0.0129277566539924	0.145120405576679
5	25	73	6695	1097	0.255102040816327	0.020595690747782	0.020595690747782	0.0281368821292776	0.14828897338403
5	45	106	6671	1068	0.300847457627119	0.0389733840304182	0.035171102661597	0.0476552598225602	0.148795944233207
5	2	4	6771	1113	0.333333333333333	0.00158428390367554	0.00158428390367554	0.00221799746514575	0.141571609632446
5	36	129	6650	1075	0.218543046357616	0.0310066992576498	0.0286936447582835	0.0381812420785805	0.152598225602028
5	56	129	6645	1060	0.300675675675676	0.0449936628643853	0.0397338403041825	0.055766793409379	0.150697084917617
5	0	0	6775	1115	NaN	0	0	0	0.141318124207858
5	43	143	6635	1069	0.241935483870968	0.0382446134347275	0.0343789607097592	0.0468042730400145	0.15361216730038
5	17	89	6684	1100	0.156862745098039	0.0185361216730038	0.0166349809885932	0.0213561470215463	0.150697084917617
6	13	47	6642	1098	0.21551724137931	0.0142628205128205	0.0133012820512821	0.0167948717948718	0.146794871794872
6	3	2	6691	1104	0.6	0.00288461538461538	0.00288461538461538	0.00384615384615385	0.141794871794872
6	4	26	6663	1107	0.133333333333333	0.00336538461538462	0.00336538461538462	0.00461538461538461	0.14525641025641
6	0	7	6693	1100	0	0	0	0	0.141923076923077
6	3	0	6689	1108	1	0.00320512820512821	0.00320512820512821	0.00384615384615385	0.142051282051282
6	45	74	6624	1057	0.354166666666667	0.0378205128205128	0.034775641025641	0.0469688644688645	0.145
6	1	39	6655	1105	0.0256410256410256	0.000961538461538462	0.000961538461538462	0.00128205128205128	0.146666666666667
6	7	63	6636	1094	0.0942028985507246	0.00801282051282051	0.00769230769230769	0.00929487179487179	0.148333333333333
6	60	264	6432	1044	0.185185185185185	0.0506410256410256	0.0506410256410256	0.0691025641025641	0.167692307692308
6	7	3	6691	1099	0.7	0.00544871794871795	0.00544871794871795	0.00769230769230769	0.141282051282051
7	17	42	6595	1071	0.303921568627451	0.0199029126213592	0.0169902912621359	0.0214886731391586	0.144077669902913
7	23	80	6550	1072	0.211538461538462	0.0203883495145631	0.0163430420711974	0.0233656957928803	0.149126213592233
