#k	TruePositives	FalsePositives	TrueNegatives	FalseNegatives	Precision	Recall	Accuracy	F-measure	HammingLoss
2	231	1040	5942	917	0.191718641718642	0.208658408012652	0.116652090222201	0.169243835295496	0.240713407134071
2	193	660	6318	959	0.255644090305445	0.164812862414338	0.128637322087507	0.175013178703216	0.199138991389914
2	234	426	6552	918	0.334113973458236	0.196068353540678	0.16338077666491	0.210756750424647	0.165313653136531
2	244	539	6443	904	0.357402361489555	0.223972061149183	0.16874450887366	0.214175891758918	0.177490774907749
2	305	921	6061	843	0.275313531353135	0.264334036197505	0.166230305160195	0.227528846717039	0.216974169741697
2	234	632	6349	915	0.336264216972878	0.209629239149534	0.152768991975634	0.201931678407693	0.190282902829028
2	234	565	6416	915	0.3125	0.213824459673168	0.171255783986411	0.212374802319452	0.182041820418204
2	322	1224	5757	827	0.250420436888767	0.282151642945001	0.158515638727816	0.228064780647807	0.252275522755228
2	281	1160	5817	872	0.216	0.248791952205236	0.135351139225678	0.194197766153486	0.249938499384994
2	213	828	6155	934	0.216798159105851	0.187225443683008	0.128066244948164	0.176396942540854	0.216728167281673
3	250	443	6475	887	0.340770404271548	0.225082025361355	0.180748425999823	0.232524903195294	0.165114835505897
3	226	407	6508	914	0.368717948717949	0.20146315509444	0.148949188613993	0.196943631580503	0.163997517070143
3	256	418	6496	885	0.446702800361337	0.22390263367917	0.19202802163696	0.240550087198132	0.161762880198634
3	140	351	6559	1005	0.289289289289289	0.124612042209808	0.111421477343265	0.139913097454997	0.168342644320298
3	234	582	6333	906	0.33652312599681	0.208073955839319	0.165895184889598	0.21670065915876	0.184729981378026
3	236	654	6264	901	0.283177205308353	0.201294670568413	0.141229937039993	0.194426709231179	0.193047796399752
3	167	380	6539	969	0.293201133144476	0.139372173450386	0.114853241110224	0.151232597321983	0.167473618870267
3	126	368	6544	1017	0.275484199796126	0.121464041855103	0.0981222842954687	0.129198072773492	0.171942892613284
3	120	280	6634	1021	0.288961038961039	0.109869646182495	0.0980136561142148	0.124439123880465	0.161514587212911
3	254	449	6468	884	0.335827098919368	0.218395849960096	0.162982176110668	0.215518311607697	0.165487274984482
4	252	267	6576	870	0.474452133794694	0.220469016231728	0.184179296326189	0.223391026215885	0.142749529190207
4	233	251	6583	898	0.463302752293578	0.212200699488835	0.185508026185992	0.229526499865483	0.144256120527307
4	181	255	6583	946	0.366200466200466	0.153035602188145	0.124441754102771	0.160685140346157	0.150784682988073
4	230	279	6558	898	0.441455696202532	0.2070845664066	0.174370011658147	0.215586046094521	0.147771500313873
4	222	163	6673	907	0.569464720194647	0.193695632678684	0.1744708994709	0.220482467940095	0.134337727558067
4	180	415	6423	947	0.30276268115942	0.173527037933818	0.136207515021074	0.175293695632679	0.170998116760829
4	183	274	6566	942	0.425192519251925	0.172114608555286	0.145372612321765	0.187081876064927	0.152667922159448
4	183	222	6615	945	0.433153477218225	0.161146982333423	0.13870504887454	0.175018682928288	0.146516007532957
4	174	240	6597	954	0.396878483835006	0.157896152811407	0.139189310375751	0.1737377813649	0.149905838041431
4	255	273	6570	867	0.493220338983051	0.219733656174334	0.183010492332526	0.228867366155502	0.143126177024482
5	197	220	6551	922	0.433162684869169	0.174149013217454	0.157482346550788	0.191126501297604	0.144740177439797
5	223	295	6481	891	0.417979059093517	0.220025348542459	0.174429657794677	0.220846158488744	0.150316856780735
5	215	215	6558	902	0.484326710816777	0.196745428209307	0.174470396523628	0.216025957565882	0.141571609632446
5	170	154	6617	949	0.558151382823872	0.161746333514394	0.145794857867101	0.181921057396343	0.13979721166033
5	214	250	6526	900	0.444901315789474	0.191304544631541	0.161076407749412	0.20376154263987	0.14575411913815
5	205	211	6564	910	0.457601351351351	0.16869907658881	0.154617055947854	0.193987265375098	0.142078580481622
5	123	198	6571	998	0.394586894586895	0.104087452471483	0.0932056853159515	0.12328897338403	0.151584283903676
5	173	190	6582	945	0.464241293532338	0.158288068078943	0.135365743255477	0.173954372623574	0.143852978453739
5	156	169	6608	957	0.484848484848485	0.145776751765345	0.123691834148108	0.156803367734927	0.142712294043093
5	204	156	6612	918	0.570815450643777	0.187488683686402	0.165403766069165	0.203216850745368	0.136121673003802
6	172	186	6512	930	0.476933895921238	0.163548534798535	0.137554945054945	0.171648351648352	0.143076923076923
6	158	207	6486	949	0.413829787234043	0.155929487179487	0.129967948717949	0.160393772893773	0.148205128205128
6	218	196	6509	877	0.528333333333334	0.181721611721612	0.147749542124542	0.192533577533578	0.137564102564103
6	185	167	6521	927	0.497538677918425	0.160453296703297	0.141799450549451	0.1760057997558	0.14025641025641
6	178	193	6508	921	0.453188405797101	0.157348901098901	0.129336080586081	0.163994755244755	0.142820512820513
6	215	191	6504	890	0.530798479087453	0.191002747252747	0.168855311355311	0.209681568431569	0.138589743589744
6	243	189	6510	858	0.559790732436472	0.208195970695971	0.165567765567766	0.207907509157509	0.134230769230769
6	210	252	6440	898	0.524906367041198	0.191845238095238	0.1533836996337	0.203772893772894	0.147435897435897
6	266	226	6476	832	0.518219461697723	0.230471611721612	0.194981684981685	0.243563797313798	0.135641025641026
6	176	139	6552	933	0.557522123893805	0.159171245421245	0.140132783882784	0.177979242979243	0.137435897435897
7	205	184	6446	890	0.522197962154294	0.183504392048081	0.155963938973648	0.192604967847686	0.139029126213592
7	210	232	6408	875	0.450830140485313	0.183809523809524	0.15500693481276	0.191373092926491	0.143300970873786
7	193	174	6459	899	0.512331838565023	0.175538603791031	0.143888118354138	0.183119124672523	0.138899676375405
